Country,VendorName,VendorNumber,PaymentCount,PaymentAmount,InvoiceLineAmountLocal,Currency,ThirdPartyPaymentsLineId,GIAccountDescription,PaymentType,PaymentSubtype,BusinessActivity,InvoiceGIDate
Spain,Asociacion Nueva Luz,9990000128,2,15543,7771,EUR,9990000128,Air Fares,Monetory TOV,PaidTravel Expenses,Gifts,10-05-2023
USA,Bright Future Initiative,9990000260,3,53320,17773,USD,9990000260,Employee Training,Monetory TOV,PaidScholarship,Sponsorships,14-05-2023
USA,Bright Future Initiative,9990000260,3,53320,17773,USD,9990000260,Hotel & Accomidation,CERPS Invoice,N/A,Market Research,07-05-2023
USA,Bright Future Initiative,9990000260,3,53320,17773,USD,9990000260,Other Travel Cost,CERPS Invoice,Networking,Entertainment,03-11-2022
USA,Bright Horizons Health Foundation,9990000133,2,14567,7283,USD,9990000133,Hotel & Accomidation,CERPS Invoice,Logistics,Training,14-07-2022
USA,Bright Horizons Health Foundation,9990000133,2,14567,7283,USD,9990000133,Taxi Fares,Monetory TOV,Logistics,Gifts,12-12-2022
Brazil,Centro Clanico Rio Grande,9990000244,2,16300,8150,BRL,9990000244,Taxi Fares,CERPS Invoice,N/A,Entertainment,26-07-2022
Brazil,Centro Clanico Rio Grande,9990000244,2,16300,8150,BRL,9990000244,Postage & Couriers,Monetory TOV,PaidTravel Expenses,Market Research,21-02-2022
Brazil,Centro de Acao Humanitaria do Amazonas,9990000257,3,2210000,736666,BRL,9990000257,Hotel & Accomidation,CERPS Invoice,N/A,Gifts,31-07-2022
Brazil,Centro de Acao Humanitaria do Amazonas,9990000257,3,2210000,736666,BRL,9990000257,Air Fares,CERPS Invoice,Logistics,Membership Fees,05-12-2023
Brazil,Centro de Acao Humanitaria do Amazonas,9990000257,3,2210000,736666,BRL,9990000257,Other Travel Cost,CERPS Invoice,N/A,Market Research,07-12-2022
Spain,Centro de Accion Social Esperanza,9990000129,2,16543,8271,EUR,9990000129,Postage & Couriers,CERPS Invoice,PaidTravel Expenses,HCP Fee for Service,05-04-2023
Spain,Centro de Accion Social Esperanza,9990000129,2,16543,8271,EUR,9990000129,Vehicle Parking,Monetory TOV,Logistics,Gifts,30-04-2022
Spain,Centro de Apoyo Esperanza,9990000136,2,15234,7617,EUR,9990000136,Hotel & Accomidation,CERPS Invoice,N/A,Travel Expenses,03-06-2022
Spain,Centro de Apoyo Esperanza,9990000136,2,15234,7617,EUR,9990000136,Digital Production,CERPS Invoice,Networking,Other HCO Expenditure,02-07-2022
Spain,Centro de Apoyo y Esperanza,9990000127,2,14678,7339,EUR,9990000127,Employee Training,CERPS Invoice,Logistics,Membership Fees,29-10-2023
Spain,Centro de Apoyo y Esperanza,9990000127,2,14678,7339,EUR,9990000127,Postage & Couriers,CERPS Invoice,Networking,Training,11-04-2022
Spain,Centro de Bienestar y Salud,9990000171,2,14569,7284,EUR,9990000171,Digital Production,Monetory TOV,Logistics,Market Research,02-02-2022
Spain,Centro de Bienestar y Salud,9990000171,2,14569,7284,EUR,9990000171,Air Fares,Monetory TOV,Logistics,HCP Fee for Service,02-05-2023
Spain,Centro de Bienestar y Vida,9990000184,2,14570,7285,EUR,9990000184,Other Travel Cost,Monetory TOV,Networking,Gifts,20-01-2023
Spain,Centro de Bienestar y Vida,9990000184,2,14570,7285,EUR,9990000184,Air Fares,Monetory TOV,N/A,HCP Fee for Service,30-01-2023
Spain,Centro de Rehabilitacian Esperanza,9990000143,2,14321,7160,EUR,9990000143,Hotel & Accomidation,Monetory TOV,Logistics,Sponsorships,24-04-2023
Spain,Centro de Rehabilitacian Esperanza,9990000143,2,14321,7160,EUR,9990000143,Air Fares,CERPS Invoice,N/A,Market Research,30-05-2022
Spain,Centro de Rehabilitacian Integral,9990000170,2,44323,22161,EUR,9990000170,Taxi Fares,Monetory TOV,PaidScholarship,Grants & Donations,13-06-2023
Spain,Centro de Rehabilitacian Integral,9990000170,2,44323,22161,EUR,9990000170,Vehicle Parking,Monetory TOV,N/A,Other HCO Expenditure,15-07-2022
Spain,Centro de Rehabilitacian Nueva Vida,9990000197,2,44326,22163,EUR,9990000197,Postage & Couriers,Monetory TOV,Networking,Gifts,28-08-2022
Spain,Centro de Rehabilitacian Nueva Vida,9990000197,2,44326,22163,EUR,9990000197,Other Travel Cost,Monetory TOV,Logistics,Membership Fees,17-05-2023
Spain,Centro de Rehabilitacian San Juan,9990000233,2,344500,172250,EUR,9990000233,Other Travel Cost,CERPS Invoice,Networking,Grants & Donations,20-06-2023
Spain,Centro de Rehabilitacian San Juan,9990000233,2,344500,172250,EUR,9990000233,Employee Training,CERPS Invoice,N/A,Travel Expenses,07-11-2023
Spain,Centro de Rehabilitacian Vida Nueva,9990000209,2,14327,7163,EUR,9990000209,Digital Production,CERPS Invoice,PaidTravel Expenses,Gifts,07-05-2023
Spain,Centro de Rehabilitacian Vida Nueva,9990000209,2,14327,7163,EUR,9990000209,Vehicle Parking,CERPS Invoice,N/A,Other HCO Expenditure,04-04-2023
Spain,Centro de Rehabilitacian y Progreso,9990000183,2,14324,7162,EUR,9990000183,Air Fares,Monetory TOV,PaidTravel Expenses,Sponsorships,09-12-2022
Spain,Centro de Rehabilitacian y Progreso,9990000183,2,14324,7162,EUR,9990000183,Air Fares,CERPS Invoice,Logistics,Entertainment,04-04-2023
Spain,Centro de Rehabilitacian y Vida,9990000157,2,143220,71610,EUR,9990000157,Hotel & Accomidation,Monetory TOV,Networking,Grants & Donations,07-09-2023
Spain,Centro de Rehabilitacian y Vida,9990000157,2,143220,71610,EUR,9990000157,Hotel & Accomidation,CERPS Invoice,N/A,Entertainment,05-04-2023
Spain,Centro de Salud Integral,9990000144,2,14567,7283,EUR,9990000144,Air Fares,Monetory TOV,Networking,HCP Fee for Service,29-05-2022
Spain,Centro de Salud Integral,9990000144,2,14567,7283,EUR,9990000144,Employee Training,Monetory TOV,N/A,Travel Expenses,05-05-2023
Spain,Centro de Salud y Esperanza,9990000158,2,14568,7284,EUR,9990000158,Vehicle Parking,Monetory TOV,PaidTravel Expenses,Market Research,04-04-2022
Spain,Centro de Salud y Esperanza,9990000158,2,14568,7284,EUR,9990000158,Digital Production,Monetory TOV,N/A,Entertainment,16-11-2023
Spain,Centro Macdico y Bienestar,9990000250,2,78600,39300,EUR,9990000250,Hotel & Accomidation,Monetory TOV,PaidScholarship,Sponsorships,09-03-2022
Spain,Centro Macdico y Bienestar,9990000250,2,78600,39300,EUR,9990000250,Digital Production,Monetory TOV,PaidTravel Expenses,Training,24-06-2023
Brazil,Clanica Boa Saaode,9990000246,2,14600,7300,BRL,9990000246,Air Fares,Monetory TOV,N/A,Gifts,15-11-2023
Brazil,Clanica Boa Saaode,9990000246,2,14600,7300,BRL,9990000246,Digital Production,Monetory TOV,PaidScholarship,HCP Fee for Service,08-07-2023
Brazil,Clanica Sapso Benedito,9990000166,2,3345800,1672900,BRL,9990000166,Air Fares,CERPS Invoice,N/A,Gifts,26-04-2022
Brazil,Clanica Sapso Benedito,9990000166,2,3345800,1672900,BRL,9990000166,Employee Training,CERPS Invoice,PaidScholarship,Training,21-05-2022
Brazil,Clanica Sapso Carlos,9990000216,2,13463,6731,BRL,9990000216,Other Travel Cost,Monetory TOV,Networking,Membership Fees,17-12-2022
Brazil,Clanica Sapso Carlos,9990000216,2,13463,6731,BRL,9990000216,Air Fares,CERPS Invoice,PaidScholarship,Entertainment,19-07-2022
Brazil,Clanica Sapso Gabriel,9990000179,2,13459,6729,BRL,9990000179,Other Travel Cost,Monetory TOV,PaidTravel Expenses,HCP Fee for Service,23-08-2022
Brazil,Clanica Sapso Gabriel,9990000179,2,13459,6729,BRL,9990000179,Digital Production,CERPS Invoice,Networking,Training,01-01-2023
Brazil,Clanica Sapso Geraldo,9990000206,2,13462,6731,BRL,9990000206,Air Fares,Monetory TOV,PaidTravel Expenses,Entertainment,18-10-2023
Brazil,Clanica Sapso Geraldo,9990000206,2,13462,6731,BRL,9990000206,Employee Training,CERPS Invoice,Networking,Market Research,20-07-2022
Brazil,Clanica Sapso Joapso,9990000241,2,13600,6800,BRL,9990000241,Vehicle Parking,CERPS Invoice,PaidTravel Expenses,Membership Fees,31-08-2022
Brazil,Clanica Sapso Joapso,9990000241,2,13600,6800,BRL,9990000241,Digital Production,CERPS Invoice,PaidTravel Expenses,Travel Expenses,15-09-2023
Brazil,Clanica Sapso Josac,9990000193,2,434610,217305,BRL,9990000193,Taxi Fares,Monetory TOV,PaidScholarship,Sponsorships,22-03-2023
Brazil,Clanica Sapso Josac,9990000193,2,434610,217305,BRL,9990000193,Air Fares,CERPS Invoice,N/A,Travel Expenses,04-12-2023
Brazil,Clanica Sapso Judas,9990000139,2,13456,6728,BRL,9990000139,Hotel & Accomidation,Monetory TOV,PaidTravel Expenses,Other HCO Expenditure,23-10-2022
Brazil,Clanica Sapso Judas,9990000139,2,13456,6728,BRL,9990000139,Air Fares,CERPS Invoice,PaidScholarship,Sponsorships,12-03-2022
Brazil,Clanica Sapso Paulo,9990000219,2,14772,7386,BRL,9990000219,Air Fares,Monetory TOV,N/A,Travel Expenses,28-12-2023
Brazil,Clanica Sapso Paulo,9990000219,2,14772,7386,BRL,9990000219,Postage & Couriers,CERPS Invoice,Networking,Membership Fees,06-10-2022
Brazil,Clanica Sapso Pedro,9990000153,2,43457,21728,BRL,9990000153,Air Fares,Monetory TOV,Networking,Travel Expenses,23-03-2023
Brazil,Clanica Sapso Pedro,9990000153,2,43457,21728,BRL,9990000153,Hotel & Accomidation,CERPS Invoice,Networking,HCP Fee for Service,30-03-2023
Brazil,Clanica Sapso Rafael,9990000243,2,14900,7450,BRL,9990000243,Postage & Couriers,CERPS Invoice,Logistics,Grants & Donations,09-12-2022
Brazil,Clanica Sapso Rafael,9990000243,2,14900,7450,BRL,9990000243,Taxi Fares,Monetory TOV,PaidScholarship,Membership Fees,20-06-2023
Brazil,Clanica Sapso Tomac,9990000195,2,84770,42385,BRL,9990000195,Employee Training,CERPS Invoice,Logistics,Other HCO Expenditure,28-04-2023
Brazil,Clanica Sapso Tomac,9990000195,2,84770,42385,BRL,9990000195,Hotel & Accomidation,Monetory TOV,N/A,Travel Expenses,06-06-2022
Brazil,Clanica Sapso Vicente,9990000228,2,13580,6790,BRL,9990000228,Digital Production,CERPS Invoice,PaidScholarship,Sponsorships,06-07-2022
Brazil,Clanica Sapso Vicente,9990000228,2,13580,6790,BRL,9990000228,Digital Production,CERPS Invoice,N/A,Gifts,23-02-2022
USA,Comprehensive Care Initiative,9990000134,2,17543,8771,USD,9990000134,Digital Production,Monetory TOV,PaidScholarship,Travel Expenses,23-05-2023
USA,Comprehensive Care Initiative,9990000134,2,17543,8771,USD,9990000134,Other Travel Cost,Monetory TOV,Logistics,Grants & Donations,12-11-2022
Brazil,Fundacao Oswaldo Cruz (Fiocruz),9990000125,2,13789,6894,BRL,9990000125,Air Fares,Monetory TOV,Networking,Grants & Donations,29-06-2023
Brazil,Fundacao Oswaldo Cruz (Fiocruz),9990000125,2,13789,6894,BRL,9990000125,Employee Training,Monetory TOV,PaidTravel Expenses,Market Research,28-11-2023
Brazil,Fundacao Vida Verde,9990000121,2,23090,11545,BRL,9990000121,Hotel & Accomidation,Monetory TOV,N/A,Membership Fees,26-08-2022
Brazil,Fundacao Vida Verde,9990000121,2,23090,11545,BRL,9990000121,Postage & Couriers,Monetory TOV,PaidScholarship,Sponsorships,03-04-2023
Spain,Fundacian Apoyo y Salud,9990000234,2,17950,8975,EUR,9990000234,Taxi Fares,CERPS Invoice,Logistics,Other HCO Expenditure,10-10-2022
Spain,Fundacian Apoyo y Salud,9990000234,2,17950,8975,EUR,9990000234,Taxi Fares,Monetory TOV,PaidScholarship,Travel Expenses,23-05-2022
Spain,Fundacian Bienestar Integral,9990000146,2,45987,22993,EUR,9990000146,Hotel & Accomidation,CERPS Invoice,PaidScholarship,Travel Expenses,22-10-2022
Spain,Fundacian Bienestar Integral,9990000146,2,45987,22993,EUR,9990000146,Employee Training,CERPS Invoice,Networking,Gifts,04-04-2022
Spain,Fundacian Cuidado Pleno,9990000211,2,17896,8948,EUR,9990000211,Employee Training,Monetory TOV,Networking,Membership Fees,04-10-2023
Spain,Fundacian Cuidado Pleno,9990000211,2,17896,8948,EUR,9990000211,Digital Production,CERPS Invoice,Networking,Gifts,12-05-2022
Spain,Fundacian Cuidado Responsable,9990000199,2,17895,8947,EUR,9990000199,Vehicle Parking,CERPS Invoice,Logistics,Travel Expenses,10-04-2023
Spain,Fundacian Cuidado Responsable,9990000199,2,17895,8947,EUR,9990000199,Taxi Fares,CERPS Invoice,Networking,Membership Fees,05-05-2022
Spain,Fundacian Esperanza,9990000248,2,55500,27750,EUR,9990000248,Air Fares,Monetory TOV,N/A,Entertainment,18-12-2023
Spain,Fundacian Esperanza,9990000248,2,55500,27750,EUR,9990000248,Vehicle Parking,Monetory TOV,Logistics,Market Research,25-05-2023
Spain,Fundacian Integral de Salud,9990000160,2,15988,7994,EUR,9990000160,Taxi Fares,CERPS Invoice,Networking,Training,24-06-2022
Spain,Fundacian Integral de Salud,9990000160,2,15988,7994,EUR,9990000160,Hotel & Accomidation,Monetory TOV,N/A,Grants & Donations,08-08-2022
Spain,Fundacian Integral de Vida,9990000173,2,1598900,799450,EUR,9990000173,Hotel & Accomidation,CERPS Invoice,PaidTravel Expenses,Grants & Donations,31-07-2023
Spain,Fundacian Integral de Vida,9990000173,2,1598900,799450,EUR,9990000173,Air Fares,Monetory TOV,PaidScholarship,Training,03-11-2023
Spain,Fundacian Luz,9990000252,2,16900,8450,EUR,9990000252,Air Fares,Monetory TOV,PaidScholarship,HCP Fee for Service,04-04-2023
Spain,Fundacian Luz,9990000252,2,16900,8450,EUR,9990000252,Postage & Couriers,Monetory TOV,Networking,Sponsorships,23-10-2023
Spain,Fundacian Salud Total,9990000142,2,1467800,733900,EUR,9990000142,Postage & Couriers,Monetory TOV,PaidTravel Expenses,Gifts,17-02-2022
Spain,Fundacian Salud Total,9990000142,2,1467800,733900,EUR,9990000142,Hotel & Accomidation,Monetory TOV,N/A,Grants & Donations,13-10-2023
Spain,Fundacian Salud y Bienestar,9990000221,2,14685,7342,EUR,9990000221,Postage & Couriers,CERPS Invoice,N/A,Travel Expenses,09-04-2022
Spain,Fundacian Salud y Bienestar,9990000221,2,14685,7342,EUR,9990000221,Digital Production,Monetory TOV,Networking,Sponsorships,23-12-2023
Spain,Fundacian Vida Integral,9990000186,2,45990,22995,EUR,9990000186,Vehicle Parking,CERPS Invoice,PaidScholarship,Travel Expenses,18-03-2022
Spain,Fundacian Vida Integral,9990000186,2,45990,22995,EUR,9990000186,Hotel & Accomidation,Monetory TOV,Networking,HCP Fee for Service,08-05-2023
Spain,Fundacian Vida Plena,9990000169,2,14680,7340,EUR,9990000169,Air Fares,Monetory TOV,PaidTravel Expenses,Entertainment,02-03-2022
Spain,Fundacian Vida Plena,9990000169,2,14680,7340,EUR,9990000169,Postage & Couriers,CERPS Invoice,PaidTravel Expenses,Sponsorships,16-07-2022
Spain,Fundacian Vida Saludable,9990000182,2,14681,7340,EUR,9990000182,Hotel & Accomidation,CERPS Invoice,N/A,Travel Expenses,22-01-2023
Spain,Fundacian Vida Saludable,9990000182,2,14681,7340,EUR,9990000182,Air Fares,Monetory TOV,N/A,Other HCO Expenditure,21-01-2022
Spain,Fundacian Vida Sana,9990000232,2,14790,7395,EUR,9990000232,Digital Production,Monetory TOV,Networking,Grants & Donations,27-07-2023
Spain,Fundacian Vida Sana,9990000232,2,14790,7395,EUR,9990000232,Postage & Couriers,Monetory TOV,Logistics,Other HCO Expenditure,16-11-2023
Spain,Fundacion Luz de Esperanza,9990000122,2,24509,12254,EUR,9990000122,Taxi Fares,Monetory TOV,Logistics,Travel Expenses,02-09-2023
Spain,Fundacion Luz de Esperanza,9990000122,2,24509,12254,EUR,9990000122,Vehicle Parking,Monetory TOV,Networking,Sponsorships,08-04-2023
Spain,Fundacion Luz y Esperanza,9990000130,2,17321,8660,EUR,9990000130,Postage & Couriers,Monetory TOV,N/A,Grants & Donations,13-12-2022
Spain,Fundacion Luz y Esperanza,9990000130,2,17321,8660,EUR,9990000130,Other Travel Cost,Monetory TOV,PaidTravel Expenses,Other HCO Expenditure,14-08-2022
USA,Future Health Initiative,9990000132,2,19876,9938,USD,9990000132,Postage & Couriers,CERPS Invoice,PaidScholarship,Training,09-08-2022
USA,Future Health Initiative,9990000132,2,19876,9938,USD,9990000132,Vehicle Parking,Monetory TOV,Networking,Travel Expenses,13-05-2023
USA,Futures for Health and Care,9990000203,2,87660,43830,USD,9990000203,Postage & Couriers,Monetory TOV,Logistics,Membership Fees,29-06-2023
USA,Futures for Health and Care,9990000203,2,87660,43830,USD,9990000203,Employee Training,Monetory TOV,N/A,Market Research,11-11-2023
USA,Futures for Health Network,9990000227,2,17662,8831,USD,9990000227,Taxi Fares,CERPS Invoice,PaidTravel Expenses,Training,30-10-2023
USA,Futures for Health Network,9990000227,2,17662,8831,USD,9990000227,Hotel & Accomidation,CERPS Invoice,N/A,Market Research,15-10-2023
USA,Global Health and Care,9990000191,2,565460,282730,USD,9990000191,Postage & Couriers,CERPS Invoice,PaidTravel Expenses,Travel Expenses,17-07-2023
USA,Global Health and Care,9990000191,2,565460,282730,USD,9990000191,Employee Training,CERPS Invoice,N/A,Sponsorships,16-09-2023
USA,Global Health Initiative,9990000137,2,13567,6783,USD,9990000137,Vehicle Parking,Monetory TOV,N/A,Grants & Donations,01-12-2022
USA,Global Health Initiative,9990000137,2,13567,6783,USD,9990000137,Hotel & Accomidation,CERPS Invoice,N/A,Gifts,12-03-2023
USA,Global Health Network,9990000236,2,16650,8325,USD,9990000236,Vehicle Parking,Monetory TOV,PaidScholarship,Market Research,03-07-2023
USA,Global Health Network,9990000236,2,16650,8325,USD,9990000236,Postage & Couriers,CERPS Invoice,PaidTravel Expenses,Travel Expenses,16-03-2023
USA,Global Health Organization,9990000177,2,16545,8272,USD,9990000177,Taxi Fares,CERPS Invoice,Networking,Travel Expenses,05-05-2023
USA,Global Health Organization,9990000177,2,16545,8272,USD,9990000177,Postage & Couriers,Monetory TOV,N/A,HCP Fee for Service,16-07-2022
USA,Global Health Partners,9990000151,2,76543,38271,USD,9990000151,Air Fares,Monetory TOV,Logistics,Sponsorships,13-02-2023
USA,Global Health Partners,9990000151,2,76543,38271,USD,9990000151,Other Travel Cost,Monetory TOV,Networking,Entertainment,23-11-2022
USA,Global Wellness Foundation,9990000161,2,16544,8272,USD,9990000161,Vehicle Parking,Monetory TOV,Networking,Other HCO Expenditure,27-10-2022
USA,Global Wellness Foundation,9990000161,2,16544,8272,USD,9990000161,Hotel & Accomidation,CERPS Invoice,N/A,Sponsorships,13-04-2023
USA,Global Wellness Health,9990000187,2,16546,8273,USD,9990000187,Hotel & Accomidation,Monetory TOV,N/A,Grants & Donations,25-06-2022
USA,Global Wellness Health,9990000187,2,16546,8273,USD,9990000187,Employee Training,Monetory TOV,Networking,Membership Fees,18-07-2023
USA,Global Wellness Initiative,9990000147,2,26543,13271,USD,9990000147,Air Fares,Monetory TOV,Logistics,Other HCO Expenditure,26-09-2022
USA,Global Wellness Initiative,9990000147,2,26543,13271,USD,9990000147,Employee Training,Monetory TOV,PaidTravel Expenses,Travel Expenses,14-01-2022
USA,Global Wellness Network,9990000212,2,16549,8274,USD,9990000212,Other Travel Cost,Monetory TOV,PaidTravel Expenses,Grants & Donations,18-06-2022
USA,Global Wellness Network,9990000212,2,16549,8274,USD,9990000212,Air Fares,Monetory TOV,PaidTravel Expenses,Entertainment,24-09-2022
USA,Global Wellness Partnership,9990000174,2,36545,18272,USD,9990000174,Air Fares,Monetory TOV,PaidScholarship,Sponsorships,28-12-2022
USA,Global Wellness Partnership,9990000174,2,36545,18272,USD,9990000174,Other Travel Cost,Monetory TOV,PaidScholarship,Travel Expenses,19-04-2022
USA,Global Wellness Society,9990000225,2,16550,8275,USD,9990000225,Vehicle Parking,CERPS Invoice,N/A,Travel Expenses,07-05-2023
USA,Global Wellness Society,9990000225,2,16550,8275,USD,9990000225,Postage & Couriers,Monetory TOV,PaidTravel Expenses,Membership Fees,13-05-2023
USA,Health and Care Network,9990000204,2,76549,38274,USD,9990000204,Other Travel Cost,Monetory TOV,PaidScholarship,HCP Fee for Service,02-07-2023
USA,Health and Care Network,9990000204,2,76549,38274,USD,9990000204,Postage & Couriers,Monetory TOV,N/A,Market Research,22-11-2022
USA,Health and Wellness Network,9990000239,2,16660,8330,USD,9990000239,Digital Production,CERPS Invoice,PaidTravel Expenses,Sponsorships,02-04-2022
USA,Health and Wellness Network,9990000239,2,16660,8330,USD,9990000239,Employee Training,CERPS Invoice,Networking,Market Research,17-06-2022
USA,Health and Wellness Solutions,9990000214,2,16550,8275,USD,9990000214,Hotel & Accomidation,Monetory TOV,N/A,HCP Fee for Service,23-05-2023
USA,Health and Wellness Solutions,9990000214,2,16550,8275,USD,9990000214,Postage & Couriers,Monetory TOV,PaidTravel Expenses,Gifts,06-05-2023
USA,Health First Alliance,9990000255,2,18000,9000,USD,9990000255,Hotel & Accomidation,Monetory TOV,Logistics,HCP Fee for Service,22-02-2023
USA,Health First Alliance,9990000255,2,18000,9000,USD,9990000255,Hotel & Accomidation,CERPS Invoice,N/A,Training,12-07-2022
USA,Hope for a Better Future,9990000213,2,14882,7441,USD,9990000213,Hotel & Accomidation,CERPS Invoice,Networking,Travel Expenses,06-10-2022
USA,Hope for a Better Future,9990000213,2,14882,7441,USD,9990000213,Digital Production,Monetory TOV,N/A,Membership Fees,04-04-2023
USA,Hope for a Healthy Future,9990000201,2,14881,7440,USD,9990000201,Employee Training,CERPS Invoice,PaidTravel Expenses,Gifts,05-05-2022
USA,Hope for a Healthy Future,9990000201,2,14881,7440,USD,9990000201,Employee Training,CERPS Invoice,PaidScholarship,Travel Expenses,09-08-2022
USA,Hope for Tomorrow Foundation,9990000188,2,14879,7439,USD,9990000188,Digital Production,CERPS Invoice,PaidScholarship,Gifts,23-08-2023
USA,Hope for Tomorrow Foundation,9990000188,2,14879,7439,USD,9990000188,Postage & Couriers,CERPS Invoice,PaidScholarship,HCP Fee for Service,03-02-2023
USA,Hope Foundation America,9990000148,2,14876,7438,USD,9990000148,Digital Production,CERPS Invoice,PaidScholarship,Other HCO Expenditure,29-11-2022
USA,Hope Foundation America,9990000148,2,14876,7438,USD,9990000148,Taxi Fares,Monetory TOV,Logistics,Market Research,23-03-2023
Brazil,Hospice Santa Maria,9990000135,2,14523,7261,BRL,9990000135,Hotel & Accomidation,CERPS Invoice,Networking,Membership Fees,04-04-2023
Brazil,Hospice Santa Maria,9990000135,2,14523,7261,BRL,9990000135,Air Fares,CERPS Invoice,Networking,HCP Fee for Service,17-10-2023
Brazil,Hospital da CrianASSa,9990000168,2,2476700,1238350,BRL,9990000168,Other Travel Cost,CERPS Invoice,Logistics,Travel Expenses,24-03-2022
Brazil,Hospital da CrianASSa,9990000168,2,2476700,1238350,BRL,9990000168,Digital Production,CERPS Invoice,PaidTravel Expenses,Training,09-09-2022
Brazil,Hospital da Luz,9990000141,2,14765,7382,BRL,9990000141,Hotel & Accomidation,CERPS Invoice,PaidTravel Expenses,Gifts,10-02-2022
Brazil,Hospital da Luz,9990000141,2,14765,7382,BRL,9990000141,Taxi Fares,Monetory TOV,PaidScholarship,HCP Fee for Service,20-12-2022
Brazil,Hospital da Saaode,9990000181,2,14768,7384,BRL,9990000181,Air Fares,Monetory TOV,Logistics,Grants & Donations,18-01-2022
Brazil,Hospital da Saaode,9990000181,2,14768,7384,BRL,9990000181,Taxi Fares,Monetory TOV,Networking,Membership Fees,26-07-2022
Brazil,Hospital da Vida,9990000155,2,147660,73830,BRL,9990000155,Digital Production,CERPS Invoice,Networking,Other HCO Expenditure,29-08-2022
Brazil,Hospital da Vida,9990000155,2,147660,73830,BRL,9990000155,Employee Training,CERPS Invoice,PaidTravel Expenses,Entertainment,07-11-2022
Brazil,Hospital de Cancer de Barretos,9990000124,2,17312,8656,BRL,9990000124,Vehicle Parking,Monetory TOV,PaidTravel Expenses,Grants & Donations,10-07-2023
Brazil,Hospital de Cancer de Barretos,9990000124,2,17312,8656,BRL,9990000124,Other Travel Cost,Monetory TOV,Logistics,Gifts,12-03-2023
Brazil,Hospital Nossa Senhora de FA!tima,9990000152,2,1423500,711750,BRL,9990000152,Other Travel Cost,CERPS Invoice,Logistics,Membership Fees,12-05-2022
Brazil,Hospital Nossa Senhora de FA!tima,9990000152,2,1423500,711750,BRL,9990000152,Digital Production,Monetory TOV,Logistics,Travel Expenses,08-05-2023
Brazil,Hospital Santa Clara,9990000242,2,18900,9450,BRL,9990000242,Vehicle Parking,CERPS Invoice,PaidTravel Expenses,Grants & Donations,19-07-2023
Brazil,Hospital Santa Clara,9990000242,2,18900,9450,BRL,9990000242,Postage & Couriers,CERPS Invoice,N/A,Sponsorships,29-11-2022
Brazil,Hospital Santa Helena,9990000165,2,14236,7118,BRL,9990000165,Digital Production,Monetory TOV,PaidTravel Expenses,Training,13-05-2023
